fcode,year,month,obs_dengue_cases,population,area,ws_avg,ws_min,ws_max,t2m_avg,t2m_min,t2m_max,rh_avg,rh_min,rh_max,tp_accum,l1_code,l1_name
TTYTKV_KIEN_LUONG_KG,2022,9,53,87746,431.21999999999997,2.533128023333333,1.3810482283333334,4.132181226666666,299.34442466666667,297.4221513333334,302.746923,87.76832419999998,74.13376520000001,95.69941433333332,0.5316160833999999,91,
TTYTKV_KIEN_LUONG_KG,2022,10,130,87746,431.21999999999997,1.595824079032258,0.6743160522580645,2.8355936967741933,299.2188493548387,296.7271587096774,302.936369032258,86.85695538709678,70.4995065483871,97.3561040967742,0.43250208669,91,
TTYTKV_KIEN_LUONG_KG,2022,11,52,87746,431.21999999999997,1.88429281,0.8595296176666667,3.157834086666667,299.1175813333333,296.61973066666667,302.70776399999994,87.04090313333334,70.55370796666666,97.25435356666665,0.39045132113000003,91,
TTYTKV_KIEN_LUONG_KG,2022,12,31,87746,431.21999999999997,2.159737638709677,1.0324308096774193,3.4164319645161294,298.32489677419346,294.9670612903226,302.22376580645164,80.81198132258066,63.450360483870966,94.72083819354836,0.18147831053519997,91,
TTYTKV_KIEN_LUONG_KG,2023,1,17,87746,431.21999999999997,2.1544449354838706,1.1628000554838709,3.233656490322581,298.2230535483871,295.2640790322581,301.9381641935484,80.53963177419354,64.47984012903225,93.83107632258067,0.129091298894,91,
TTYTKV_KIEN_LUONG_KG,2023,2,32,87746,431.21999999999997,2.5749225535714286,1.3003159532142858,4.010274525,299.67540035714285,295.9251853571429,304.17534571428575,73.8867534642857,52.72485717857143,92.6607832142857,0.056290246961000004,91,
TTYTKV_KIEN_LUONG_KG,2023,3,34,87746,431.21999999999997,2.790046448387096,1.690817112903226,3.9017621806451612,300.5430548387097,296.37398483870976,306.1995767741936,68.22634251612904,42.73992645161292,90.38610893548386,0.0041134010864,91,
TTYTKV_KIEN_LUONG_KG,2023,4,30,87746,431.21999999999997,1.83872536,0.7913983303333332,3.088228369999999,301.810756,298.27878,306.66235166666667,77.17178873333334,53.75164253333333,95.77306969999998,0.14009494007099998,91,
TTYTKV_KIEN_LUONG_KG,2023,5,16,87746,431.21999999999997,2.343903467741935,1.2399952245161292,3.8322397870967744,301.63332032258063,299.13593000000003,305.568174516129,81.4937964516129,63.497383935483874,94.25754399999997,0.30064311454000003,91,
TTYTKV_KIEN_LUONG_KG,2023,6,14,87746,431.21999999999997,2.561221506666667,1.4427427233333334,4.182811386666667,300.597624,298.55891866666667,304.036408,85.45390563333332,70.3823467,95.19729763333332,0.32084314195,91,
